ward_id,drainage_weakness,data_source
D001,0.58,Urban Drainage Proxy (OSM + MCD)
D002,0.58,Urban Drainage Proxy (OSM + MCD)
D003,0.58,Urban Drainage Proxy (OSM + MCD)
D004,0.58,Urban Drainage Proxy (OSM + MCD)
D005,0.58,Urban Drainage Proxy (OSM + MCD)
D006,0.65,Urban Drainage Proxy (OSM + MCD)
D007,0.65,Urban Drainage Proxy (OSM + MCD)
D008,0.65,Urban Drainage Proxy (OSM + MCD)
D009,0.65,Urban Drainage Proxy (OSM + MCD)
D010,0.65,Urban Drainage Proxy (OSM + MCD)
D011,0.65,Urban Drainage Proxy (OSM + MCD)
D012,0.65,Urban Drainage Proxy (OSM + MCD)
D013,0.65,Urban Drainage Proxy (OSM + MCD)
D014,0.65,Urban Drainage Proxy (OSM + MCD)
D015,0.65,Urban Drainage Proxy (OSM + MCD)
D016,0.65,Urban Drainage Proxy (OSM + MCD)
D017,0.65,Urban Drainage Proxy (OSM + MCD)
D018,0.65,Urban Drainage Proxy (OSM + MCD)
D019,0.65,Urban Drainage Proxy (OSM + MCD)
D020,0.65,Urban Drainage Proxy (OSM + MCD)
D021,0.5,Urban Drainage Proxy (OSM + MCD)
D022,0.5,Urban Drainage Proxy (OSM + MCD)
D023,0.5,Urban Drainage Proxy (OSM + MCD)
D024,0.5,Urban Drainage Proxy (OSM + MCD)
D025,0.5,Urban Drainage Proxy (OSM + MCD)
D026,0.58,Urban Drainage Proxy (OSM + MCD)
D027,0.58,Urban Drainage Proxy (OSM + MCD)
D028,0.58,Urban Drainage Proxy (OSM + MCD)
D029,0.58,Urban Drainage Proxy (OSM + MCD)
D030,0.58,Urban Drainage Proxy (OSM + MCD)
D031,0.58,Urban Drainage Proxy (OSM + MCD)
D032,0.58,Urban Drainage Proxy (OSM + MCD)
D033,0.58,Urban Drainage Proxy (OSM + MCD)
D034,0.58,Urban Drainage Proxy (OSM + MCD)
D035,0.58,Urban Drainage Proxy (OSM + MCD)
D036,0.58,Urban Drainage Proxy (OSM + MCD)
D037,0.5,Urban Drainage Proxy (OSM + MCD)
D038,0.5,Urban Drainage Proxy (OSM + MCD)
D039,0.5,Urban Drainage Proxy (OSM + MCD)
D040,0.5,Urban Drainage Proxy (OSM + MCD)
D041,0.5,Urban Drainage Proxy (OSM + MCD)
D042,0.5,Urban Drainage Proxy (OSM + MCD)
D043,0.5,Urban Drainage Proxy (OSM + MCD)
D044,0.5,Urban Drainage Proxy (OSM + MCD)
D045,0.5,Urban Drainage Proxy (OSM + MCD)
D046,0.5,Urban Drainage Proxy (OSM + MCD)
D047,0.5,Urban Drainage Proxy (OSM + MCD)
D048,0.5,Urban Drainage Proxy (OSM + MCD)
D049,0.5,Urban Drainage Proxy (OSM + MCD)
D050,0.5,Urban Drainage Proxy (OSM + MCD)
D051,0.5,Urban Drainage Proxy (OSM + MCD)
D052,0.5,Urban Drainage Proxy (OSM + MCD)
D053,0.5,Urban Drainage Proxy (OSM + MCD)
D054,0.5,Urban Drainage Proxy (OSM + MCD)
D055,0.55,Urban Drainage Proxy (OSM + MCD)
D056,0.55,Urban Drainage Proxy (OSM + MCD)
D057,0.55,Urban Drainage Proxy (OSM + MCD)
D058,0.55,Urban Drainage Proxy (OSM + MCD)
D059,0.55,Urban Drainage Proxy (OSM + MCD)
D060,0.55,Urban Drainage Proxy (OSM + MCD)
D061,0.55,Urban Drainage Proxy (OSM + MCD)
D062,0.55,Urban Drainage Proxy (OSM + MCD)
D063,0.55,Urban Drainage Proxy (OSM + MCD)
D064,0.55,Urban Drainage Proxy (OSM + MCD)
D065,0.55,Urban Drainage Proxy (OSM + MCD)
D066,0.55,Urban Drainage Proxy (OSM + MCD)
D067,0.55,Urban Drainage Proxy (OSM + MCD)
D068,0.55,Urban Drainage Proxy (OSM + MCD)
D069,0.55,Urban Drainage Proxy (OSM + MCD)
D070,0.85,Urban Drainage Proxy (OSM + MCD)
D071,0.85,Urban Drainage Proxy (OSM + MCD)
D072,0.85,Urban Drainage Proxy (OSM + MCD)
D073,0.85,Urban Drainage Proxy (OSM + MCD)
D074,0.85,Urban Drainage Proxy (OSM + MCD)
D075,0.85,Urban Drainage Proxy (OSM + MCD)
D076,0.85,Urban Drainage Proxy (OSM + MCD)
D077,0.85,Urban Drainage Proxy (OSM + MCD)
D078,0.85,Urban Drainage Proxy (OSM + MCD)
D079,0.85,Urban Drainage Proxy (OSM + MCD)
D080,0.85,Urban Drainage Proxy (OSM + MCD)
D081,0.85,Urban Drainage Proxy (OSM + MCD)
D082,0.75,Urban Drainage Proxy (OSM + MCD)
D083,0.75,Urban Drainage Proxy (OSM + MCD)
D084,0.75,Urban Drainage Proxy (OSM + MCD)
D085,0.75,Urban Drainage Proxy (OSM + MCD)
D086,0.75,Urban Drainage Proxy (OSM + MCD)
D087,0.75,Urban Drainage Proxy (OSM + MCD)
D088,0.75,Urban Drainage Proxy (OSM + MCD)
D089,0.75,Urban Drainage Proxy (OSM + MCD)
D090,0.75,Urban Drainage Proxy (OSM + MCD)
D091,0.75,Urban Drainage Proxy (OSM + MCD)
D092,0.6,Urban Drainage Proxy (OSM + MCD)
D093,0.6,Urban Drainage Proxy (OSM + MCD)
D094,0.6,Urban Drainage Proxy (OSM + MCD)
D095,0.6,Urban Drainage Proxy (OSM + MCD)
D096,0.6,Urban Drainage Proxy (OSM + MCD)
D097,0.6,Urban Drainage Proxy (OSM + MCD)
D098,0.6,Urban Drainage Proxy (OSM + MCD)
D099,0.6,Urban Drainage Proxy (OSM + MCD)
D100,0.6,Urban Drainage Proxy (OSM + MCD)
D101,0.6,Urban Drainage Proxy (OSM + MCD)
D102,0.6,Urban Drainage Proxy (OSM + MCD)
D103,0.6,Urban Drainage Proxy (OSM + MCD)
D104,0.6,Urban Drainage Proxy (OSM + MCD)
D105,0.6,Urban Drainage Proxy (OSM + MCD)
D106,0.6,Urban Drainage Proxy (OSM + MCD)
D107,0.6,Urban Drainage Proxy (OSM + MCD)
D108,0.6,Urban Drainage Proxy (OSM + MCD)
D109,0.6,Urban Drainage Proxy (OSM + MCD)
D110,0.6,Urban Drainage Proxy (OSM + MCD)
D111,0.6,Urban Drainage Proxy (OSM + MCD)
D112,0.6,Urban Drainage Proxy (OSM + MCD)
D113,0.6,Urban Drainage Proxy (OSM + MCD)
D114,0.6,Urban Drainage Proxy (OSM + MCD)
D115,0.6,Urban Drainage Proxy (OSM + MCD)
D116,0.6,Urban Drainage Proxy (OSM + MCD)
D117,0.78,Urban Drainage Proxy (OSM + MCD)
D118,0.78,Urban Drainage Proxy (OSM + MCD)
D119,0.78,Urban Drainage Proxy (OSM + MCD)
D120,0.78,Urban Drainage Proxy (OSM + MCD)
D121,0.78,Urban Drainage Proxy (OSM + MCD)
D122,0.78,Urban Drainage Proxy (OSM + MCD)
D123,0.78,Urban Drainage Proxy (OSM + MCD)
D124,0.78,Urban Drainage Proxy (OSM + MCD)
D125,0.78,Urban Drainage Proxy (OSM + MCD)
D126,0.78,Urban Drainage Proxy (OSM + MCD)
D127,0.78,Urban Drainage Proxy (OSM + MCD)
D128,0.78,Urban Drainage Proxy (OSM + MCD)
D129,0.78,Urban Drainage Proxy (OSM + MCD)
D130,0.78,Urban Drainage Proxy (OSM + MCD)
D131,0.78,Urban Drainage Proxy (OSM + MCD)
D132,0.78,Urban Drainage Proxy (OSM + MCD)
D133,0.78,Urban Drainage Proxy (OSM + MCD)
D134,0.78,Urban Drainage Proxy (OSM + MCD)
D135,0.78,Urban Drainage Proxy (OSM + MCD)
D136,0.78,Urban Drainage Proxy (OSM + MCD)
D137,0.78,Urban Drainage Proxy (OSM + MCD)
D138,0.78,Urban Drainage Proxy (OSM + MCD)
D139,0.75,Urban Drainage Proxy (OSM + MCD)
D140,0.75,Urban Drainage Proxy (OSM + MCD)
D141,0.75,Urban Drainage Proxy (OSM + MCD)
D142,0.7,Urban Drainage Proxy (OSM + MCD)
D143,0.7,Urban Drainage Proxy (OSM + MCD)
D144,0.7,Urban Drainage Proxy (OSM + MCD)
D145,0.7,Urban Drainage Proxy (OSM + MCD)
D146,0.7,Urban Drainage Proxy (OSM + MCD)
D147,0.7,Urban Drainage Proxy (OSM + MCD)
D148,0.45,Urban Drainage Proxy (OSM + MCD)
D149,0.45,Urban Drainage Proxy (OSM + MCD)
D150,0.45,Urban Drainage Proxy (OSM + MCD)
D151,0.45,Urban Drainage Proxy (OSM + MCD)
D152,0.45,Urban Drainage Proxy (OSM + MCD)
D153,0.45,Urban Drainage Proxy (OSM + MCD)
D154,0.45,Urban Drainage Proxy (OSM + MCD)
D155,0.45,Urban Drainage Proxy (OSM + MCD)
D156,0.45,Urban Drainage Proxy (OSM + MCD)
D157,0.45,Urban Drainage Proxy (OSM + MCD)
D158,0.45,Urban Drainage Proxy (OSM + MCD)
D159,0.45,Urban Drainage Proxy (OSM + MCD)
D160,0.45,Urban Drainage Proxy (OSM + MCD)
D161,0.45,Urban Drainage Proxy (OSM + MCD)
D162,0.45,Urban Drainage Proxy (OSM + MCD)
D163,0.45,Urban Drainage Proxy (OSM + MCD)
D164,0.45,Urban Drainage Proxy (OSM + MCD)
D165,0.45,Urban Drainage Proxy (OSM + MCD)
D166,0.45,Urban Drainage Proxy (OSM + MCD)
D167,0.45,Urban Drainage Proxy (OSM + MCD)
D168,0.7,Urban Drainage Proxy (OSM + MCD)
D169,0.7,Urban Drainage Proxy (OSM + MCD)
D170,0.7,Urban Drainage Proxy (OSM + MCD)
D171,0.45,Urban Drainage Proxy (OSM + MCD)
D172,0.45,Urban Drainage Proxy (OSM + MCD)
D173,0.45,Urban Drainage Proxy (OSM + MCD)
D174,0.7,Urban Drainage Proxy (OSM + MCD)
D175,0.7,Urban Drainage Proxy (OSM + MCD)
D176,0.7,Urban Drainage Proxy (OSM + MCD)
D177,0.7,Urban Drainage Proxy (OSM + MCD)
D178,0.7,Urban Drainage Proxy (OSM + MCD)
D179,0.7,Urban Drainage Proxy (OSM + MCD)
D180,0.7,Urban Drainage Proxy (OSM + MCD)
D181,0.7,Urban Drainage Proxy (OSM + MCD)
D182,0.7,Urban Drainage Proxy (OSM + MCD)
D183,0.7,Urban Drainage Proxy (OSM + MCD)
D184,0.7,Urban Drainage Proxy (OSM + MCD)
D185,0.7,Urban Drainage Proxy (OSM + MCD)
D186,0.7,Urban Drainage Proxy (OSM + MCD)
D187,0.7,Urban Drainage Proxy (OSM + MCD)
D188,0.7,Urban Drainage Proxy (OSM + MCD)
D189,0.7,Urban Drainage Proxy (OSM + MCD)
D190,0.75,Urban Drainage Proxy (OSM + MCD)
D191,0.75,Urban Drainage Proxy (OSM + MCD)
D192,0.75,Urban Drainage Proxy (OSM + MCD)
D193,0.75,Urban Drainage Proxy (OSM + MCD)
D194,0.75,Urban Drainage Proxy (OSM + MCD)
D195,0.75,Urban Drainage Proxy (OSM + MCD)
D196,0.75,Urban Drainage Proxy (OSM + MCD)
D197,0.75,Urban Drainage Proxy (OSM + MCD)
D198,0.75,Urban Drainage Proxy (OSM + MCD)
D199,0.75,Urban Drainage Proxy (OSM + MCD)
D200,0.75,Urban Drainage Proxy (OSM + MCD)
D201,0.75,Urban Drainage Proxy (OSM + MCD)
D202,0.75,Urban Drainage Proxy (OSM + MCD)
D203,0.75,Urban Drainage Proxy (OSM + MCD)
D204,0.75,Urban Drainage Proxy (OSM + MCD)
D205,0.75,Urban Drainage Proxy (OSM + MCD)
D206,0.75,Urban Drainage Proxy (OSM + MCD)
D207,0.75,Urban Drainage Proxy (OSM + MCD)
D208,0.75,Urban Drainage Proxy (OSM + MCD)
D209,0.75,Urban Drainage Proxy (OSM + MCD)
D210,0.75,Urban Drainage Proxy (OSM + MCD)
D211,0.75,Urban Drainage Proxy (OSM + MCD)
D212,0.75,Urban Drainage Proxy (OSM + MCD)
D213,0.75,Urban Drainage Proxy (OSM + MCD)
D214,0.75,Urban Drainage Proxy (OSM + MCD)
D215,0.75,Urban Drainage Proxy (OSM + MCD)
D216,0.8,Urban Drainage Proxy (OSM + MCD)
D217,0.8,Urban Drainage Proxy (OSM + MCD)
D218,0.8,Urban Drainage Proxy (OSM + MCD)
D219,0.8,Urban Drainage Proxy (OSM + MCD)
D220,0.8,Urban Drainage Proxy (OSM + MCD)
D221,0.8,Urban Drainage Proxy (OSM + MCD)
D222,0.8,Urban Drainage Proxy (OSM + MCD)
D223,0.8,Urban Drainage Proxy (OSM + MCD)
D224,0.8,Urban Drainage Proxy (OSM + MCD)
D225,0.8,Urban Drainage Proxy (OSM + MCD)
D226,0.8,Urban Drainage Proxy (OSM + MCD)
D227,0.8,Urban Drainage Proxy (OSM + MCD)
D228,0.8,Urban Drainage Proxy (OSM + MCD)
D229,0.8,Urban Drainage Proxy (OSM + MCD)
D230,0.8,Urban Drainage Proxy (OSM + MCD)
D231,0.8,Urban Drainage Proxy (OSM + MCD)
D232,0.8,Urban Drainage Proxy (OSM + MCD)
D233,0.8,Urban Drainage Proxy (OSM + MCD)
D234,0.8,Urban Drainage Proxy (OSM + MCD)
D235,0.8,Urban Drainage Proxy (OSM + MCD)
D236,0.8,Urban Drainage Proxy (OSM + MCD)
D237,0.8,Urban Drainage Proxy (OSM + MCD)
D238,0.8,Urban Drainage Proxy (OSM + MCD)
D239,0.8,Urban Drainage Proxy (OSM + MCD)
D240,0.8,Urban Drainage Proxy (OSM + MCD)
D241,0.8,Urban Drainage Proxy (OSM + MCD)
D242,0.8,Urban Drainage Proxy (OSM + MCD)
D243,0.8,Urban Drainage Proxy (OSM + MCD)
D244,0.8,Urban Drainage Proxy (OSM + MCD)
D245,0.8,Urban Drainage Proxy (OSM + MCD)
D246,0.8,Urban Drainage Proxy (OSM + MCD)
D247,0.8,Urban Drainage Proxy (OSM + MCD)
D248,0.8,Urban Drainage Proxy (OSM + MCD)
D249,0.8,Urban Drainage Proxy (OSM + MCD)
D250,0.8,Urban Drainage Proxy (OSM + MCD)
